SPECS,c1,c23,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,WFuselageLAPES,HFuselageLAPES,LFuselageLAPES,motorIndex,volumeBox,configBox,Score
1,0.24246708749897,0.23680966861912,0.19910844622733,0.87141479307002,0.23665282443313,0.60378637021986,2,3,3,3,0.18804794962583,0.17416171807808,0.060326315810114,2,0.51767320313258,0.15395201862568,5,0.060326315810114,0.12663173420355,0.17416171807808,1,0.027572491037298,11,229
2,0.23400696337492,0.22086816497428,0.19501070746519,0.55881679986222,0.39039209019952,0.51384486262474,1,3,3,3,0.17151725776346,0.17490008663576,0.070321753744921,2,0.55310522172942,0.20601791087204,6,0.070321753744921,0.10327475672321,0.17490008663576,1,0.023462129081621,1,208
3,0.24435380088206,0.21148577916976,0.18749389794797,0.59118667356709,0.36840989345154,0.50510771968224,0.85412068966944,3,3,3,0.17830167941871,0.17446347513953,0.065068916628367,2,0.517012252707,0.25341247475304,7,0.065068916628367,0.10739325903071,0.17446347513953,1,0.025044330547677,25,208
4,0.24246708749897,0.23680966861912,0.19910844622733,0.87141479307002,0.23665282443313,0.60378637021986,2,3,3,3,0.18804794962583,0.17416171807808,0.060326315810114,2,0.51767320313258,0.15395201862568,5,0.060326315810114,0.12663173420355,0.17416171807808,1,0.027572491037298,11,229
5,0.23400696337492,0.22086816497428,0.19501070746519,0.55881679986222,0.39039209019952,0.51384486262474,1,3,3,3,0.17151725776346,0.17490008663576,0.070321753744921,2,0.55310522172942,0.20601791087204,6,0.070321753744921,0.10327475672321,0.17490008663576,1,0.023462129081621,1,208
6,0.24435380088206,0.21148577916976,0.18749389794797,0.59118667356709,0.36840989345154,0.50510771968224,0.85412068966944,3,3,3,0.17830167941871,0.17446347513953,0.065068916628367,2,0.517012252707,0.25341247475304,7,0.065068916628367,0.10739325903071,0.17446347513953,1,0.025044330547677,25,208
7,0.24246708749897,0.23680966861912,0.19910844622733,0.87141479307002,0.23665282443313,0.60378637021986,2,3,3,3,0.18804794962583,0.17416171807808,0.060326315810114,2,0.51767320313258,0.15395201862568,5,0.060326315810114,0.12663173420355,0.17416171807808,1,0.027572491037298,11,229
8,0.23400696337492,0.22086816497428,0.19501070746519,0.55881679986222,0.39039209019952,0.51384486262474,1,3,3,3,0.17151725776346,0.17490008663576,0.070321753744921,2,0.55310522172942,0.20601791087204,6,0.070321753744921,0.10327475672321,0.17490008663576,1,0.023462129081621,1,208
9,0.24435380088206,0.21148577916976,0.18749389794797,0.59118667356709,0.36840989345154,0.50510771968224,0.85412068966944,3,3,3,0.17830167941871,0.17446347513953,0.065068916628367,2,0.517012252707,0.25341247475304,7,0.065068916628367,0.10739325903071,0.17446347513953,1,0.025044330547677,25,208
10,0.24435432188389,0.21148287382614,0.18749966568535,0.59117825933603,0.36839435346416,0.5050950462289,0.85394960107411,3,3,3,0.17830275887878,0.17446444739514,0.065068448895155,2,0.51701160565286,0.2534167736071,8,0.065068448895155,0.10796557511171,0.17446444739514,1,0.025825507840142,25,209
