c1,c2,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,Arh,motorIndex,infoBat,volumeBox,configBox,boxUse,batteryConsumption,Score
0.22,0.22,0.22,0.71,0.50,0.70,4.30,1.00,1.00,1.00,0.19,0.23,0.07,3.00,0.55,0.11,8.00,4.34,1.00,6.00,0.03,33.00,0.98,1993.14,245.18
0.22,0.19,0.19,0.54,0.23,0.47,0.43,2.00,2.00,2.00,0.16,0.25,0.07,3.00,0.53,0.16,5.00,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.22,0.21,0.64,0.53,0.73,0.25,1.00,1.00,1.00,0.16,0.24,0.07,3.00,0.55,-0.10,5.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.22,0.20,0.69,0.22,0.51,1.72,2.00,2.00,2.00,0.17,0.25,0.07,3.00,0.55,0.27,5.00,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.25,0.20,0.19,0.55,0.21,0.44,0.82,1.00,1.00,1.00,0.18,0.25,0.07,3.00,0.57,0.27,3.00,3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.20,0.69,0.46,0.70,-0.97,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.58,-0.02,1.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.24,0.21,0.88,0.43,0.75,2.20,1.00,1.00,1.00,0.15,0.24,0.07,3.00,0.54,0.11,2.00,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.24,0.23,0.79,0.47,0.70,4.64,1.00,1.00,1.00,0.15,0.25,0.07,3.00,0.55,0.20,8.00,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.20,0.18,0.72,0.24,0.59,4.30,1.00,1.00,1.00,0.16,0.25,0.07,3.00,0.58,0.07,3.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.22,0.68,0.39,0.64,3.36,2.00,2.00,2.00,0.16,0.23,0.07,3.00,0.55,0.03,3.00,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.20,0.20,0.19,0.87,0.34,0.74,0.99,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.57,-0.07,7.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.19,0.19,0.19,0.58,0.50,0.66,3.91,1.00,1.00,1.00,0.17,0.23,0.07,3.00,0.53,-0.02,2.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.21,0.19,0.58,0.29,0.52,3.05,2.00,2.00,2.00,0.17,0.23,0.07,3.00,0.58,0.16,2.00,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.20,0.19,0.77,0.24,0.64,3.55,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.53,-0.06,6.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.23,0.22,0.19,0.68,0.23,0.53,1.47,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.58,0.15,3.00,3.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.23,0.21,0.61,0.24,0.50,2.75,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.58,0.19,3.00,3.29,1.00,6.00,0.00,0.00,0.00,0.00,0.00
